ffmpeg version 5.1.2-essentials_build-www.gyan.dev Copyright (c) 2000-2022 the FFmpeg developers
  built with gcc 12.1.0 (Rev2, Built by MSYS2 project)
  configuration: --enable-gpl --enable-version3 --enable-static --disable-w32threads --disable-autodetect --enable-fontconfig --enable-iconv --enable-gnutls --enable-libxml2 --enable-gmp --enable-lzma --enable-zlib --enable-libsrt --enable-libssh --enable-libzmq --enable-avisynth --enable-sdl2 --enable-libwebp --enable-libx264 --enable-libx265 --enable-libxvid --enable-libaom --enable-libopenjpeg --enable-libvpx --enable-libass --enable-libfreetype --enable-libfribidi --enable-libvidstab --enable-libvmaf --enable-libzimg --enable-amf --enable-cuda-llvm --enable-cuvid --enable-ffnvcodec --enable-nvdec --enable-nvenc --enable-d3d11va --enable-dxva2 --enable-libmfx --enable-libgme --enable-libopenmpt --enable-libopencore-amrwb --enable-libmp3lame --enable-libtheora --enable-libvo-amrwbenc --enable-libgsm --enable-libopencore-amrnb --enable-libopus --enable-libspeex --enable-libvorbis --enable-librubberband
  libavutil      57. 28.100 / 57. 28.100
  libavcodec     59. 37.100 / 59. 37.100
  libavformat    59. 27.100 / 59. 27.100
  libavdevice    59.  7.100 / 59.  7.100
  libavfilter     8. 44.100 /  8. 44.100
  libswscale      6.  7.100 /  6.  7.100
  libswresample   4.  7.100 /  4.  7.100
  libpostproc    56.  6.100 / 56.  6.100
Input #0, rawvideo, from 'pipe:':
  Duration: N/A, start: 0.000000, bitrate: 3981312 kb/s
  Stream #0:0: Video: rawvideo (BGRA / 0x41524742), bgra, 1920x1080, 3981312 kb/s, 60 tbr, 60 tbn
Stream mapping:
  Stream #0:0 -> #0:0 (rawvideo (native) -> h264 (libx264))
[libx264 @ 0000021bee442540] using cpu capabilities: MMX2 SSE2Fast SSSE3 SSE4.2 AVX FMA3 BMI2 AVX2
[libx264 @ 0000021bee442540] profile High, level 5.0, 4:2:0, 8-bit
[libx264 @ 0000021bee442540] 264 - core 164 r3099 e067ab0 - H.264/MPEG-4 AVC codec - Copyleft 2003-2022 - http://www.videolan.org/x264.html - options: cabac=1 ref=3 deblock=1:0:0 analyse=0x3:0x113 me=hex subme=7 psy=1 psy_rd=1.00:0.00 mixed_ref=1 me_range=16 chroma_me=1 trellis=1 8x8dct=1 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=-2 threads=12 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=31457 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
Output #0, mp4, to '2023_01_21_11_22_12.mp4':
  Metadata:
    encoder         : Lavf59.27.100
  Stream #0:0: Video: h264 (avc1 / 0x31637661), yuv420p(tv, progressive), 1920x1080, q=2-31, 31457 kb/s, 60 fps, 15360 tbn
    Metadata:
      encoder         : Lavc59.37.100 libx264
    Side data:
      cpb: bitrate max/min/avg: 0/0/31457000 buffer size: 0 vbv_delay: N/A
frame=    1 fps=0.0 q=0.0 size=       0kB time=00:00:00.00 bitrate=N/A speed=N/A    
frame=   10 fps=0.0 q=0.0 size=       0kB time=00:00:00.00 bitrate=N/A speed=   0x    
frame=   22 fps= 21 q=0.0 size=       0kB time=00:00:00.00 bitrate=N/A speed=   0x    
frame=   35 fps= 22 q=0.0 size=       0kB time=00:00:00.00 bitrate=N/A speed=   0x    
frame=   47 fps= 21 q=0.0 size=       0kB time=00:00:00.00 bitrate=N/A speed=   0x    
frame=   58 fps= 21 q=19.0 size=     512kB time=-00:00:00.01 bitrate=N/A speed=N/A    
frame=   65 fps= 20 q=24.0 size=    1024kB time=00:00:00.10 bitrate=83835.4kbits/s speed=0.0305x    
frame=   75 fps= 20 q=20.0 size=    1280kB time=00:00:00.26 bitrate=39313.4kbits/s speed=0.0703x    
frame=   83 fps= 19 q=19.0 size=    1536kB time=00:00:00.40 bitrate=31453.1kbits/s speed=0.0931x    
frame=   90 fps= 19 q=19.0 size=    1792kB time=00:00:00.51 bitrate=28410.2kbits/s speed=0.108x    
frame=   99 fps= 18 q=18.0 size=    2304kB time=00:00:00.66 bitrate=28309.4kbits/s speed=0.12x    
frame=  109 fps= 18 q=18.0 size=    2816kB time=00:00:00.83 bitrate=27680.7kbits/s speed=0.137x    
frame=  118 fps= 18 q=18.0 size=    3584kB time=00:00:00.98 bitrate=29856.2kbits/s speed=0.149x    
frame=  124 fps= 17 q=18.0 size=    3840kB time=00:00:01.08 bitrate=29036.1kbits/s speed=0.153x    
frame=  135 fps= 17 q=18.0 size=    4608kB time=00:00:01.26 bitrate=29800.4kbits/s speed=0.162x    
frame=  147 fps= 17 q=18.0 size=    5376kB time=00:00:01.46 bitrate=30026.3kbits/s speed=0.171x    
frame=  159 fps= 17 q=18.0 size=    6144kB time=00:00:01.66 bitrate=30198.0kbits/s speed=0.18x    
frame=  170 fps= 17 q=18.0 size=    6912kB time=00:00:01.85 bitrate=30606.2kbits/s speed=0.189x    
frame=  178 fps= 17 q=18.0 size=    7424kB time=00:00:01.98 bitrate=30663.4kbits/s speed=0.192x    
frame=  185 fps= 17 q=18.0 size=    7680kB time=00:00:02.10 bitrate=29958.6kbits/s speed=0.194x    
frame=  195 fps= 17 q=18.0 size=    8448kB time=00:00:02.26 bitrate=30531.4kbits/s speed=0.196x    
frame=  207 fps= 17 q=18.0 size=    9216kB time=00:00:02.46 bitrate=30606.4kbits/s speed= 0.2x    
frame=  219 fps= 17 q=18.0 size=    9984kB time=00:00:02.66 bitrate=30670.2kbits/s speed=0.203x    
frame=  231 fps= 17 q=18.0 size=   10752kB time=00:00:02.86 bitrate=30725.1kbits/s speed=0.206x    
frame=  243 fps= 17 q=18.0 size=   11520kB time=00:00:03.06 bitrate=30772.9kbits/s speed=0.209x    
frame=  248 fps= 16 q=18.0 size=   11776kB time=00:00:03.15 bitrate=30624.6kbits/s speed=0.207x    
frame=  257 fps= 16 q=18.0 size=   12288kB time=00:00:03.30 bitrate=30503.5kbits/s speed=0.21x    
frame=  262 fps= 16 q=18.0 size=   12800kB time=00:00:03.38 bitrate=30991.9kbits/s speed=0.209x    
frame=  271 fps= 16 q=18.0 size=   13312kB time=00:00:03.53 bitrate=30863.3kbits/s speed=0.209x    
frame=  283 fps= 16 q=18.0 size=   14080kB time=00:00:03.73 bitrate=30895.1kbits/s speed=0.212x    
frame=  292 fps= 16 q=18.0 size=   14592kB time=00:00:03.88 bitrate=30781.8kbits/s speed=0.215x    
frame=  299 fps= 16 q=18.0 size=   15104kB time=00:00:04.00 bitrate=30932.6kbits/s speed=0.215x    
frame=  309 fps= 16 q=18.0 size=   16128kB time=00:00:04.16 bitrate=31708.5kbits/s speed=0.218x    
frame=  316 fps= 16 q=18.0 size=   16640kB time=00:00:04.28 bitrate=31824.1kbits/s speed=0.218x    
frame=  325 fps= 16 q=18.0 size=   17152kB time=00:00:04.43 bitrate=31693.4kbits/s speed=0.218x    
frame=  334 fps= 16 q=18.0 size=   17920kB time=00:00:04.58 bitrate=32028.9kbits/s speed=0.22x    
frame=  343 fps= 16 q=18.0 size=   18432kB time=00:00:04.73 bitrate=31900.0kbits/s speed=0.22x    
frame=  351 fps= 16 q=18.0 size=   18688kB time=00:00:04.86 bitrate=31456.9kbits/s speed=0.22x    
frame=  359 fps= 16 q=18.0 size=   19200kB time=00:00:05.00 bitrate=31456.9kbits/s speed=0.22x    
frame=  369 fps= 16 q=18.0 size=   19712kB time=00:00:05.16 bitrate=31254.0kbits/s speed=0.223x    
frame=  376 fps= 16 q=18.0 size=   19968kB time=00:00:05.28 bitrate=30960.8kbits/s speed=0.223x    
frame=  383 fps= 16 q=18.0 size=   20480kB time=00:00:05.40 bitrate=31068.6kbits/s speed=0.222x    
frame=  392 fps= 16 q=18.0 size=   20992kB time=00:00:05.55 bitrate=30984.7kbits/s speed=0.223x    
frame=  400 fps= 16 q=18.0 size=   21504kB time=00:00:05.68 bitrate=30995.7kbits/s speed=0.224x    
frame=  407 fps= 16 q=18.0 size=   22016kB time=00:00:05.80 bitrate=31095.4kbits/s speed=0.223x    
frame=  415 fps= 16 q=18.0 size=   22528kB time=00:00:05.93 bitrate=31103.6kbits/s speed=0.224x    
frame=  423 fps= 16 q=18.0 size=   23040kB time=00:00:06.06 bitrate=31111.3kbits/s speed=0.224x    
frame=  431 fps= 16 q=18.0 size=   23296kB time=00:00:06.20 bitrate=30780.5kbits/s speed=0.224x    
frame=  439 fps= 16 q=18.0 size=   23808kB time=00:00:06.33 bitrate=30794.8kbits/s speed=0.225x    
frame=  450 fps= 16 q=18.0 size=   24576kB time=00:00:06.51 bitrate=30893.9kbits/s speed=0.227x    
frame=  456 fps= 16 q=18.0 size=   24832kB time=00:00:06.61 bitrate=30743.9kbits/s speed=0.227x    
frame=  463 fps= 16 q=18.0 size=   25344kB time=00:00:06.73 bitrate=30834.1kbits/s speed=0.226x    
frame=  475 fps= 16 q=18.0 size=   26112kB time=00:00:06.93 bitrate=30852.1kbits/s speed=0.227x    
frame=  486 fps= 16 q=18.0 size=   26880kB time=00:00:07.11 bitrate=30941.4kbits/s speed=0.229x    
frame=  490 fps= 16 q=18.0 size=   27136kB time=00:00:07.18 bitrate=30946.1kbits/s speed=0.228x    
frame=  499 fps= 15 q=18.0 size=   27648kB time=00:00:07.33 bitrate=30885.1kbits/s speed=0.225x    
frame=  511 fps= 15 q=18.0 size=   28416kB time=00:00:07.53 bitrate=30900.3kbits/s speed=0.226x    
frame=  521 fps= 15 q=18.0 size=   28928kB time=00:00:07.70 bitrate=30776.2kbits/s speed=0.227x    
frame=  525 fps= 15 q=18.0 size=   29184kB time=00:00:07.76 bitrate=30782.0kbits/s speed=0.226x    
frame=  532 fps= 15 q=18.0 size=   29696kB time=00:00:07.88 bitrate=30858.5kbits/s speed=0.226x    
frame=  539 fps= 15 q=18.0 size=   30208kB time=00:00:08.00 bitrate=30932.8kbits/s speed=0.224x    
frame=  543 fps= 15 q=18.0 size=   30464kB time=00:00:08.06 bitrate=30937.1kbits/s speed=0.223x    
frame=  551 fps= 15 q=18.0 size=   30976kB time=00:00:08.20 bitrate=30945.6kbits/s speed=0.223x    
frame=  563 fps= 15 q=18.0 size=   32000kB time=00:00:08.40 bitrate=31207.4kbits/s speed=0.223x    
frame=  574 fps= 15 q=18.0 size=   32768kB time=00:00:08.58 bitrate=31273.8kbits/s speed=0.225x    
frame=  579 fps= 15 q=18.0 size=   33024kB time=00:00:08.66 bitrate=31215.1kbits/s speed=0.224x    
frame=  587 fps= 15 q=18.0 size=   33280kB time=00:00:08.80 bitrate=30980.5kbits/s speed=0.224x    
frame=  599 fps= 15 q=18.0 size=   34048kB time=00:00:09.00 bitrate=30991.1kbits/s speed=0.225x    
frame=  609 fps= 15 q=18.0 size=   34560kB time=00:00:09.16 bitrate=30885.2kbits/s speed=0.226x    
frame=  616 fps= 15 q=18.0 size=   35072kB time=00:00:09.28 bitrate=30948.8kbits/s speed=0.226x    
frame=  623 fps= 15 q=18.0 size=   35584kB time=00:00:09.40 bitrate=31010.9kbits/s speed=0.226x    
frame=  635 fps= 15 q=18.0 size=   36096kB time=00:00:09.60 bitrate=30801.8kbits/s speed=0.227x    
frame=  646 fps= 15 q=18.0 size=   36864kB time=00:00:09.78 bitrate=30867.6kbits/s speed=0.228x    
frame=  652 fps= 15 q=18.0 size=   37120kB time=00:00:09.88 bitrate=30767.5kbits/s speed=0.228x    
frame=  659 fps= 15 q=18.0 size=   37632kB time=00:00:10.00 bitrate=30828.0kbits/s speed=0.228x    
frame=  671 fps= 15 q=18.0 size=   38400kB time=00:00:10.20 bitrate=30840.3kbits/s speed=0.228x    
frame=  682 fps= 15 q=17.0 size=   39168kB time=00:00:10.38 bitrate=30901.7kbits/s speed=0.23x    
frame=  687 fps= 15 q=17.0 size=   39424kB time=00:00:10.46 bitrate=30856.0kbits/s speed=0.229x    
frame=  696 fps= 15 q=17.0 size=   39936kB time=00:00:10.61 bitrate=30815.1kbits/s speed=0.23x    
frame=  704 fps= 15 q=17.0 size=   40448kB time=00:00:10.75 bitrate=30823.1kbits/s speed=0.23x    
frame=  711 fps= 15 q=17.0 size=   40704kB time=00:00:10.86 bitrate=30685.2kbits/s speed=0.23x    
frame=  721 fps= 15 q=17.0 size=   41216kB time=00:00:11.03 bitrate=30601.8kbits/s speed=0.231x    
frame=  731 fps= 15 q=17.0 size=   41984kB time=00:00:11.20 bitrate=30708.2kbits/s speed=0.231x    
